Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
GV-5040CP-C-HQ: AB02611GV-5040CP-M-GL: AB02612,GV-5040CP,CP,GigE,CMOS,Sony,76.0 fps,1456 x 1088,5.023 mm x 3.753 mm,Global Shutter,"1/3""",1.58 MPix,3.5 µm,IP30,GV-5040CP-C-HQGV-5040CP-M-GL
UI-3370SE-C-HQ: AB02632UI-3370SE-M-GL: AB02633,UI-3370SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,IP30,UI-3370SE-C-HQUI-3370SE-M-GL
UI-3371SE-C-HQ: AB02634UI-3371SE-M-GL: AB02635,UI-3371SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,No,UI-3371SE-C-HQUI-3371SE-M-GL
UI-3372SE-C: AB02630UI-3372SE-M: AB02631,UI-3372SE,SE,USB 3.1 Gen. 1,CMOS,CMOSIS,80.0 fps,2048 x 2048,11.264 mm x 11.264 mm,Global Shutter,"1""",4.19 MPix,5.5 µm,No,UI-3372SE-CUI-3372SE-M
AB.0010.1.50600.23,UI-1120SE,SE,USB 2.0,CMOS,NIT,50.0 fps,768 x 576,7.680 mm x 5.760 mm,Rolling Shutter,"1/1.8""",0.44 MPix,10 µm,IP30,UI-1120SE-M-GL
UI-1220LE-C-HQ: AB.0010.1.22400.00UI-1220LE-M-GL: AB.0010.1.25600.23,UI-1220LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-1220LE-C-HQUI-1220LE-M-GL
UI-1220SE-C-HQ: AB.0010.1.09610.24UI-1220SE-M-GL: AB.0010.1.10610.13,UI-1220SE,SE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,IP30,UI-1220SE-C-HQUI-1220SE-M-GL
UI-1221LE-C-HQ: AB.0010.1.22500.00UI-1221LE-M-GL: AB.0010.1.25700.23,UI-1221LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,No,UI-1221LE-C-HQUI-1221LE-M-GL
UI-1222LE-C: AB.0010.1.25500.00UI-1222LE-M: AB.0010.1.25900.00,UI-1222LE,LE,USB 2.0,CMOS,ON Semiconductor,87.2 fps,752 x 480,4.512 mm x 2.880 mm,Global Shutter,"1/3""",0.36 MPix,6.0 µm,No,UI-1222LE-CUI-1222LE-M
UI-1240LE-C-HQ: AB.0010.1.47800.24UI-1240LE-M-GL: AB.0010.1.47900.23UI-1240LE-NIR-GL: AB00189,UI-1240LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240LE-C-HQUI-1240LE-M-GLUI-1240LE-NIR-GL
UI-1240ML-C-HQ: AB00182UI-1240ML-M-GL: AB00183UI-1240ML-NIR-GL: AB00184,UI-1240ML,ML,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240ML-C-HQUI-1240ML-M-GLUI-1240ML-NIR-GL
UI-1240SE-C-HQ: AB.0010.1.46400.24UI-1240SE-M-GL: AB.0010.1.46500.23UI-1240SE-NIR-GL: AB00080,UI-1240SE,SE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,IP30,UI-1240SE-C-HQUI-1240SE-M-GLUI-1240SE-NIR-GL
UI-1241LE-C-HQ: AB.0010.1.48000.24UI-1241LE-M-GL: AB.0010.1.48100.23UI-1241LE-NIR-GL: AB00190,UI-1241LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-1241LE-C-HQUI-1241LE-M-GLUI-1241LE-NIR-GL
UI-1242LE-C: AB.0010.1.48400.24UI-1242LE-M: AB.0010.1.48500.23UI-1242LE-NIR: AB00191,UI-1242LE,LE,USB 2.0,CMOS,e2v,25.8 fps,1280 x 1024,6.784 mm x 5.427 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.31 MPix,5.3 µm,No,UI-1242LE-CUI-1242LE-MUI-1242LE-NIR
UI-1250LE-C-HQ: AB00353UI-1250LE-M-GL: AB00354,UI-1250LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250LE-C-HQUI-1250LE-M-GL
UI-1250ML-C-HQ: AB00330UI-1250ML-M-GL: AB00331,UI-1250ML,ML,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250ML-C-HQUI-1250ML-M-GL
UI-1250SE-C-HQ: AB00332UI-1250SE-M-GL: AB00253,UI-1250SE,SE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-1250SE-C-HQUI-1250SE-M-GL
UI-1251LE-C-HQ: AB00333UI-1251LE-M-GL: AB00334,UI-1251LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-1251LE-C-HQUI-1251LE-M-GL
UI-1252LE-C: AB00335UI-1252LE-M: AB00336,UI-1252LE,LE,USB 2.0,CMOS,e2v,17.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-1252LE-CUI-1252LE-M
AB.0010.1.27200.00,UI-1460LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP30,UI-1460LE-C-HQ
AB.0010.1.09510.24,UI-1460SE,SE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,IP30,UI-1460SE-C-HQ
AB.0010.1.27300.00,UI-1461LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,No,UI-1461LE-C-HQ
AB.0010.1.27500.00,UI-1462LE,LE,USB 2.0,CMOS,ON Semiconductor,11.2 fps,2048 x 1536,6.554 mm x 4.915 mm,Rolling Shutter,"1/2""",3.15 MPix,3.2 µm,No,UI-1462LE-C
AB.0010.1.34200.23,UI-1480LE,LE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1480LE-M-GL
AB.0010.1.33600.23,UI-1480SE,SE,USB 2.0,CMOS,ON Semiconductor,6.3 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-1480SE-M-GL
